Bank,IAM,IAM ID,Year,Country,Project Name,Project Description,Complaint ID,Complaint Description,Filer(s),Filer Type,Environmental Category,Project Company,Project Number,Project Status,IFI Support Type,Financial Institution,Money,Project Loan Amount,Sector,Project Approval Date,Issues,Complaint Status,Date Filed (YYYY-DD-MM),Registration Start Date (YYYY-DD-MM),Registration End Date (YYYY-DD-MM),Registered? (Y/N),"If no registration, why?",Eligibility Start Date (YYYY-DD-MM),Eligibility End Date (YYYY-DD-MM),Eligible (Y/N),"If not eligibile, why?",Dispute Resolution Start Date,Dispute Resolution End Date,"If no DR, why?",Consultation and disclosure Review Start Date,Consultation and disclosure Review End Date,"If no CR, why?",Consultation and disclosure report published? (Y/N),Non-Consultation and disclosure Found (Y/N),Monitoring Start Date,Monitoring End Date,Date Closed,Project Hyperlink,Complaint Hyperlink,Documents
EIB,CM,29,2017,Italy,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/36/PR,Alleged negative impacts of the project,Confidential,Unknown,,,,,,,,,Transport,,Other,Closed without Output,9/26/17,9/26/17,9/28/17,,,,,No,Mechanism deemed involvement unnecessary; Mechanism chose not to monitor,,,,,,,,,,,11/28/17,,http://www.eib.org/en/about/accountability/complaints/cases/trans-adriatic-pipeline.htm,
EIB,CM,29,2017,Egypt,Cairo Metro Line 3 (Phase 3),"The European Investment Bank (EIB) and the French Development Agency (AFD) are contemplating co-financing the construction of Greater Cairo Metro Line 3 – Phase 3. The Executive Agency and owner of the construction project is the National Authority for Tunnels (NAT). After final handover of the works, the new assets are transferred for operation and maintenance to the Egyptian Company for Metro Management and Operation (ECM).",SG/E/2017/34,Alleged negative project impacts,Confidential,Unknown,,,,,,,,,Transport,,Other,Active,7/21/17,7/21/17,7/31/17,,,,,,,,,,,,,,,,,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2017-34-cairo-metro-line-3-phase-3.htm,
EIB,CM,29,2017,Georgia,E70 Grigoleti-Kobuleti Bypass,,SG/E/2017/37/PR,Unfair compensation,Confidential,Unknown,,,,,,,,,,,Other,Closed without Output,10/12/17,10/12/17,10/19/17,,,10/24/17,10/24/17,No,Unknown,,,,,,,,,,,11/2/17,,http://www.eib.org/en/about/accountability/complaints/cases/e70-grigoleti-kobuleti-bypass.htm,
EIB,CM,29,2015,Russian Fed.,Vladivostok CHP Project,,SG/E/2015/02,Alleged negative environmental effects,Confidential,Unknown,,,,,,,,,,,Other,Closed,1/12/15,1/12/15,1/14/15,,,,,,,,,,,,,,No,4/24/15,4/24/15,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2015-02-vladivostok-chp-project.htm,
EIB,CM,29,2014,Egypt,Cairo Metro Line 3 (Phase 3),,SG/E/2015/01,Negative impacts of the project,Confidential,Unknown,,,,,,,,,,,Other,Closed,12/30/14,12/30/14,1/7/15,,,1/13/15,1/13/15,,,,,,,,,,No,4/28/15,4/28/15,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2015-01-cairo-metro-line-3-phase-3.htm,
EIB,CM,29,2013,Serbia,Railroad Gilje-Paracin,,SG/E/2013/10,Concerns regarding the expropriation of land,Individual,Individual,,,,,,,,,,,Other,Closed,10/22/13,10/22/13,,,,,,,,,,,,,,,,,12/23/13,,,http://www.eib.org/en/about/accountability/complaints/cases/railroad-gilje-paracin.htm,
EIB,CM,29,2013,United Kingdom,Not updated request,,SG/A/2013/03,Lack/delays in sending booking document for complainant's accounting,Confidential,Unknown,,,,,,,,,,,Other,Closed,9/24/13,9/24/13,9/24/13,,,10/21/13,10/21/13,,,,,,,10/21/13,,,No,10/22/13,10/22/13,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-a-2013-03-not-updated-request.htm,
EIB,CM,29,2013,Croatia,Mariscina County Waste Management,,SG/E/2013/01,Negative environmental impacts,Environment Protection Group Krizni Eko Stožer Marišćina,Local CSO,,,,,,,,,,,Other,Active,3/6/13,3/6/13,3/20/13,,,6/10/13,6/10/13,,,,,,12/10/14,Ongoing,,,,,,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2013-01-mariscina-county-waste-management.htm,
EIB,CM,29,2012,Bulgaria,Transit Roads V Lot 17,,SG/E/2012/13,"Poor quality of works in project implementation, excessive delay.",NGO Lawyers Against Corruption,International CSO,,,,,,,,,,,Other,Closed,12/14/12,12/14/12,,,,,,,,,,,5/16/14,6/18/14,,,12/2/14,6/18/14,6/18/14,,,http://www.eib.org/en/about/accountability/complaints/cases/transit-roads-v-lot-17.htm,
EIB,CM,29,2012,Poland,Eastern Poland Roads Ten-T,,SG/E/2012/06,Failure to mitigate project impacts regarding noise pollution,Confidential,Unknown,,,,,,,,,,,Other,Closed,5/2/12,5/2/12,5/2/12,,,8/15/12,8/15/12,,,,,,11/22/12,12/14/12,,,Yes,1/18/13,1/18/13,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2012-06-eastern-poland-roads-ten-t.htm,
EIB,CM,29,2011,Tunisia,STEG - Sousse Power Plant,,SG/E/2011/17,Inadequate expropriation,Individual,Individual,,,,,,,,,,,Other,Closed,12/12/11,12/12/11,,,,,,,,,,,,,,,,,7/12/12,,,http://www.eib.org/en/about/accountability/complaints/cases/steg-sousse-power-plant.htm,
EIB,CM,29,2011,Poland,Warsaw Ring Road,,SG/E/2011/01,Breach of EC lawand EIB Environmental policies.,Individuals on behalf of ‘Stowarzysyenie Sasiedzkie Zaluski Stasin’ and the inhabitants of Wlochy district.,Local Community Organization,,,,,,,,,,,Other,Closed,2/7/11,2/7/11,2/22/11,,,,,,,,,,10/5/11,10/28/11,,,1/24/12,11/14/11,11/14/11,,,http://www.eib.org/en/about/accountability/complaints/cases/warsaw-ring-road.htm,
EIB,CM,29,2010,Poland,Torún Bridge,,SG/E/2010/15,Breach of EU environmental legislation,Individual,Individual,,,,,,,,,,,Other,Closed,10/19/10,10/19/10,,,,,,,,,,,7/1/11,7/26/11,,,11/28/11,7/29/11,7/29/11,,,http://www.eib.org/en/about/accountability/complaints/cases/torun-bridge1.htm,
EIB,CM,29,2010,Romania,Jeremie 002/2 Financial Instrument,,EIF/A/2010/01,Rejection of NCH' expression of interest for JER-002/2 Financial Instrument,Confidential,Unknown,,,,,,,,,,,Other,Closed,10/18/10,10/18/10,10/18/10,,,12/1/10,12/1/10,,,,,,6/28/11,7/28/11,,,No,8/18/11,8/18/11,,,http://www.eib.org/en/about/accountability/complaints/cases/eif-a-2010-01-jeremie-002-2-financial-instrument .htm,
EIB,CM,29,2010,Poland,"Motorway A-2, Confirmatory",,SG/E/2010/09,Inappropriate and insufficient expropriation procedures,"Individual, Poland",Individual,,,,,,,,,,,Other,Closed,7/10/10,7/10/10,,,,,,,,,,,9/22/10,9/24/10,,,12/3/10,9/30/10,9/30/10,,,http://www.eib.org/en/about/accountability/complaints/cases/confirmatory-motorway-a-2-poland.htm,
EIB,CM,29,2010,Spain,Gipuzkoa Waste Management,,SG/E/2010/05,Alleged negative impact of the Gipuzkoa Waste Management,Confidential,Unknown,,,,,,,,,,,Other,Closed,7/6/10,7/6/10,7/6/10,,,8/24/10,8/24/10,,,,,,7/19/11,4/19/12,,,No,3/12/14,3/12/14,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2010-05-gipuzkoa-waste-management.htm,
EIB,CM,29,2009,Uganda,Bujagali Hydroelectric Project,,SG/A/2009/02,Access to the documents related to the “Bujagali Hydroelectric Project”,Association Sherpa,Local CSO,,,,,,,,,,,Other,Closed,2/24/09,2/24/09,2/24/09,,,4/1/09,4/1/09,,,,,,,5/6/09,,,No,6/3/09,6/3/09,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-a-2009-02-bujagali-hydroelectric-project.htm,
EIB,CM,29,2017,Italy,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/45,Alleged safety issues and militarization of the territory,Confidential,Unknown,,,,,,,,,Extractives,,Other community health and safety issues,Active,12/6/17,12/6/17,12/8/17,,,,,,,,,,,,,,,,,,,http://www.eib.org/en/about/accountability/complaints/cases/trans-adriatic-pipeline7.htm,
IFC and MIGA,CAO,21,2008,"Chile, India, Nepal, The Philippines",SN Power-01/CAO Vice President Request,"IFC and MIGA have supported a number of projects with SN Power, a commercial investor and developer of hydropower projects. ",162,,Residents of Himachal Pradesh,,A and B,SN Power Group,11632; 26996; 26041; 25472; 21315; 26207; 1297,,,IFC and MIGA,0,,Energy,,Other community health and safety issues ,Closed,1-Dec-08,,,1-Dec-08,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=162,http://www.cao-ombudsman.org/cases/document-links/links-75.aspx,,
IFC and MIGA,CAO,21,2008,"Chile, India, Nepal, The Philippines",SN Power-01/CAO Vice President Request,"IFC and MIGA have supported a number of projects with SN Power, a commercial investor and developer of hydropower projects. ",162,,Residents of Himachal Pradesh,,A and B,SN Power Group,11632; 26996; 26041; 25472; 21315; 26207; 1297,,,IFC and MIGA,,,Energy,,Other community health and safety issues ,Closed,1-Dec-08,,,,,1-Dec-08,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=162,http://www.cao-ombudsman.org/cases/document-links/links-75.aspx
ADB,CRP,25,2016,Georgia,Sustainable Urban Transport Investment Program - Tranche 3,ADB is helping Georgia improve the transport system and infrastructure in urban areas. The third project under the program will construct a 6.8-kilometer section of the Tbilisi-Rustavi Urban Road Link and undertake the second phase of the Anaklia Coastal Improvement. This project will improve the urban environment and strengthen economic and tourism development and regional integration.,2016/1,,Residents of Rustavi Highway,,,,,,Loan 3063,,0,,Infrastructure,,Other community health and safety issues ,,3/14/16,,,,,,,,,,,,,,,,,,,,http://www.adb.org/projects/42414-043/main,"www.compliance.adb.org/dir0035p.nsf/attachments/GEO-Complaint_English-For Web.pdf/$FILE/GEO-Complaint_English-For Web.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-Complaint_Georgian_For Web.pdf/$FILE/GEO-Complaint_Georgian_For Web.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-R40-16-FOR WEB.pdf/$FILE/GEO-R40-16-FOR WEB.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO Eligibility Report-Geogian.pdf/$FILE/GEO Eligibility Report-Geogian.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-BoardDecision21June2016.pdf/$FILE/GEO-BoardDecision21June2016.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/Geo-BoardDecision14June2016_Georgian.pdf/$FILE/Geo-BoardDecision14June2016_Georgian.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-SUTIP-T3-Consultation and disclosureReviewTOR_28June2016.pdf/$FILE/GEO-SUTIP-T3-Consultation and disclosureReviewTOR_28June2016.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-SUTIP-T3-Consultation and disclosureReviewTOR_28June2016.docx_Ge.pdf/$FILE/GEO-SUTIP-T3-Consultation and disclosureReviewTOR_28June2016.docx_Ge.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-Board Consideration-6March2017.pdf/$FILE/GEO-Board Consideration-6March2017.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/Board Consideration-GEO.pdf/$FILE/Board Consideration-GEO.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-CRP-Final Report-6March-Board.pdf/$FILE/GEO-CRP-Final Report-6March-Board.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-CRP Final Report-GEO.pdf/$FILE/GEO-CRP Final Report-GEO.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/Board Consideration of the GEO-RAP-Minutes-30June2017.pdf/$FILE/Board Consideration of the GEO-RAP-Minutes-30June2017.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/Board Consideration of the  GEO-RAP-30June2017-GEO.pdf/$FILE/Board Consideration of the  GEO-RAP-30June2017-GEO.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-Board Approved-RAP-30June2017-ForWeb.pdf/$FILE/GEO-Board Approved-RAP-30June2017-ForWeb.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-Board  Approved-RAP-30June2017-ForWeb-GEO.pdf/$FILE/GEO-Board  Approved-RAP-30June2017-ForWeb-GEO.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO SUTIP-CRP Case - Final Action Plan-15Dec2017.pdf/$FILE/GEO SUTIP-CRP Case - Final Action Plan-15Dec2017.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO SUTIP3-ADB Management and CRP's Comments-Proposed Final Solution-For Web.pdf/$FILE/GEO SUTIP3-ADB Management and CRP's Comments-Proposed Final Solution-For Web.pdf,www.compliance.adb.org/dir0035p.nsf/attachments/GEO-SUTIP3-RAP-Final Solutions (Post CRP and BCRC Review)_3May2018.pdf/$FILE/GEO-SUTIP3-RAP-Final Solutions (Post CRP and BCRC Review)_3May2018.pdf",http://compliance.adb.org/dir0035p.nsf/alldocs/JABM-A848U5?OpenDocument
IFC,CAO,21,2004,India,AD Hydro Power Limited-01/Himachal Pradesh,"The Allain Duhangan project was a planned 192MW run-of-river hydroelectric power plant to be built on the Allain and Duhangan tributaries of the Beas River in the state of Himachal Pradesh in India. The project company was Allain Duhangan Hydro Power Limited (AD Hydro) and was formed to construct, operate and maintain the power plant.",75,,Residents of Himachal Pradesh,,A,AD Hydro Power Limited,11632,,,IFC,45000000,$45 million ( A + C loan),Infrastructure,,Other community health and safety issues; Due diligence,Closed,1-Oct-04,,,,,1-Oct-04,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=75,http://www.cao-ombudsman.org/cases/document-links/links-75.aspx
IFC,CAO,21,2004,India,AD Hydro Power Limited-01/Himachal Pradesh,"The Allain Duhangan project was a planned 192MW run-of-river hydroelectric power plant to be built on the Allain and Duhangan tributaries of the Beas River in the state of Himachal Pradesh in India. The project company was Allain Duhangan Hydro Power Limited (AD Hydro) and was formed to construct, operate and maintain the power plant.",75,,Residents of Himachal Pradesh,,A,AD Hydro Power Limited,11632,,,IFC,0,,Infrastructure,,Other community health and safety issues; Due diligence,Closed,1-Oct-04,,,1-Oct-04,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=75,http://www.cao-ombudsman.org/cases/document-links/links-75.aspx,,
IFC,CAO,21,2009,Chile,Aconcagua 2461 and 3526,,153,,Confidential,,B,Hydroelectrica Aconcagua,3526,,,IFC,0,Equity,Energy,,Other community health and safety issues; Indigenous peoples; Cultural heritage; Displacement (physical and/or economic),Closed,11-Nov-09,,,,,11-Nov-09,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=153,http://www.cao-ombudsman.org/cases/document-links/links-153.aspx
IFC,CAO,21,2009,Chile,Aconcagua 2461 and 3526,,153,,Confidential,,B,Hydroelectrica Aconcagua,3526,,,IFC,0,,Energy,,Other community health and safety issues; Indigenous peoples; Cultural heritage; Displacement (physical and/or economic),Closed,11-Nov-09,,,11-Nov-09,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=153,http://www.cao-ombudsman.org/cases/document-links/links-153.aspx,,
EIB,CM,29,2017,Italy,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/40/PR,Alleged strong Other community health and safety issues measures in the region and negative economic and environmental impacts,Confidential,Unknown,,,,,,,,,Extractives,,Other community health and safety issues; Other environmental,Active,11/15/17,11/15/17,11/16/17,,,,,,,,,,,,,,,,,,,http://www.eib.org/en/about/accountability/complaints/cases/trans-adriatic-pipeline1.htm,
EBRD,PCM,26,2018,Georgia,Shuakhevi HPP,"The EBRD is considering extending a senior loan to Adjaristsqali Georgia LLC (the “Borrower”) of up to USD 86.5 million (EUR 63.7 million) for the financing of the development, construction and operation of Shuakhevi HPP, a hydroelectric power plant to be located on the Adjaristsqali river in south-western Georgia (the “Project”). Shuakhevi HPP will have an installed capacity of 185 MW with expected electricity output of 452 GWh. The plant is designed as a run-of-the-river plant with capacity for diurnal storage in two reservoirs, allowing Shuakhevi HPP to store water for up to 12 hours and sell electricity at peak demand times.",2018/03,,Rabati Settlement of Makhalakidze Village,Local Community Organization,A,Adjaristsqali Georgia LLC,45335,Disbursing,Loan,,86500000,USD 86.5 million,Energy,,Other community health and safety issues; Other environmental; Water; Biodiversity; Livelihoods,Active,9/2/18,9/2/18,2018-15-03,,,2018-29-03,2018-23-05,yes,,2018-23-05,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/shuakhevi-hpp.html,,https://www.ebrd.com/cs/Satellite?c=Content&cid=1395272571842&d=&pagename=EBRD%2FContent%2FDownloadDocument; https://www.ebrd.com/cs/Satellite?c=Content&cid=1395272571948&d=&pagename=EBRD%2FContent%2FDownloadDocument; https://www.ebrd.com/cs/Satellite?c=Content&cid=1395274365699&d=&pagename=EBRD%2FContent%2FDownloadDocument; https://www.ebrd.com/cs/Satellite?c=Content&cid=1395274365238&d=&pagename=EBRD%2FContent%2FDownloadDocument; https://www.ebrd.com/cs/Satellite?c=Content&cid=1395274365362&d=&pagename=EBRD%2FContent%2FDownloadDocument; https://www.ebrd.com/cs/Satellite?c=Content&cid=1395274365458&d=&pagename=EBRD%2FContent%2FDownloadDocument
EBRD,PCM,26,2018,Bosnia; Herzegovina,GrCF - Banja Luka District Heating,"Establishment of Eko Toplane (the Company) a new majority privately owned district heating company that would build, own and operate a 49 MW biomass boiler plant for district heating in the City Of Banja Luka. The Company will also operate the existing district heating network and two smaller biomass boiler plants owned by the City. The Company is 51 per cent owned by IEE Banja Luka, a private sector sponsor, and the City holds the remaining shares.",2018/07,,Confidential,Unknown,B,Eko Toplane,49407,Disbursing,,,9500000,"EUR 8,347,000",Infrastructure,,Other community health and safety issues; Pollution; Due diligence,Closed without Output,6/5/18,6/5/18,2018-17-05,,,2018-23-05,2018-24-08,no,Outside of mandate; Bank not found to be responsible party,,,,,,,,,,,2018-24-08,http://www.ebrd.com/work-with-us/projects/psd/grcf-banja-luka-district-heating.html,,https://www.ebrd.com/cs/Satellite?c=Content&cid=1395274202030&d=&pagename=EBRD%2FContent%2FDownloadDocument; https://www.ebrd.com/cs/Satellite?c=Content&cid=1395276216625&d=&pagename=EBRD%2FContent%2FDownloadDocument; https://www.ebrd.com/cs/Satellite?c=Content&cid=1395276216464&d=&pagename=EBRD%2FContent%2FDownloadDocument; 
ADB,CRP,25,2017,Pakistan,Power Distribution Enhancement Investment Program - Tranche 3,ADB is helping Pakistan to improve its power distribution system. The project will alleviate the power distribution system bottlenecks and reduce outages and load shedding by upgrading the secondary transmission grid and transmission lines.,2017/3,,Confidential,,,,,,Loan No. 2972,,0,,Energy,,Other community health and safety issues; Property damage,,8/15/17,,,,,,,,,,,,,,,,,,,,https://www.adb.org/projects/38456-034/main#project-overview,www.compliance.adb.org/dir0035p.nsf/attachments/PAK PDEIP III Complaint - FOR WEB.pdf/$FILE/PAK PDEIP III Complaint - FOR WEB.pdf,http://compliance.adb.org/dir0035p.nsf/alldocs/JABM-AQC44B?OpenDocument
ADB,SPF,25,2018,Armenia,Sustainable Urban Development Investment Program - Tranche 1,"ADB is helping Armenia upgrade its urban transport services in 12 major and secondary cities. The first tranche of the multitranche financing facility includes road improvements in the capital, Yerevan, and institutional development and capacity building.",18-Feb,,Unknown,Unknown,B,,42417-023,,"Loan
",,48640000,USD 48.64 million,Infrastructure,,Other community health and safety issues; Property damage,Closed without Output,12/2/18,12/2/18,2018-15-02,,,2018-15-02,12/3/18,no,Unknown,,,,,,,,,,,12/3/18,https://www.adb.org/projects/42417-023/main,,
ADB,SPF,25,2017,Georgia,"MFF-Sustainable Urban Transport Investment Program - Tranche 3
",ADB is helping Georgia improve the transport system and infrastructure in urban areas. The third project under the program will construct a 6.8-kilometer section of the Tbilisi-Rustavi Urban Road Link and undertake the second phase of the Anaklia Coastal Improvement. This project will improve the urban environment and strengthen economic and tourism development and regional integration.,17-May,,Confidential,Unknown,B,,42414-043,,Loan,,73000000,USD 73 million,Infrastructure,,Other community health and safety issues; Property damage,Closed without output,10/7/17,10/7/17,10/7/17,,,10/7/17,7/8/17,no,Unknown,,,,,,,,,,,7/8/17,https://www.adb.org/projects/42414-043/main,,https://www.adb.org/sites/default/files/page/42458/geo-mff-sustainable-urban-transport-t3.pdf
EIB,CM,29,2017,,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/26/PR,Alledged breach of environmental law,Confidential,Unknown,,,,,,,,,Extractives,,Other environmental,Closed without Output,7/6/17,7/6/17,7/7/17,,,7/14/17,,,Forwarded to other body within bank; Mechanism forwarded complaint to management,,,,,,,,,,,,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2017-26-pr-trans-adriatic-pipeline.htm,
EIB,CM,29,2017,Italy,Trans Adriatic Pipeline,"The Trans Adriatic Pipeline (TAP) project is a gas pipeline of about 878 km that crosses Greece (from the Turkish border) and Albania. It connects to the Italian gas network in Southern Italy and will transport up to 10 billion cubic meters of gas per year. TAP is part of the Southern Gas Corridor (SGC)[1] development, linking the Shah Deniz 2 gas field in Azerbaijan to Turkey and Europe. The corridor could also be used in the future to deliver gas from the Middle East, Central Asia, and the Eastern Mediterranean.",SG/E/2017/38/PR,Alleged negative economic and environmental impacts,﻿Confidential,Unknown,,,,,,,,,Extractives,,Other environmental ,Active,11/15/17,11/15/17,11/16/17,,,,,,,,,,,,,,,,,,,http://www.eib.org/en/about/accountability/complaints/cases/trans-adriatic-pipeline3.htm,
EIB,CM,29,2017,Spain,Membrane Technology Environmental Conversion,"The project concerns the construction of a new membrane cell facility for the production of chlor-alkali with a capacity of 65,000 tonnes per year of chlorine and 71,500 tonnes per year of caustic soda, using Best Available Technology (BAT).",SG/E/2017/29,Potential breach of EU environmental standards,IIDMA - International Institute for Law and the Environment,International CSO,,,,,,,,,Chemicals,,Other environmental; Due diligence,Closed with output,7/4/17,7/4/17,7/7/17,,,,,Yes,,,,Not offered by mechanism; Dispute resolution was not an option in this case,2/19/18,3/12/18,,Yes,No,,,3/19/18,,http://www.eib.org/en/about/accountability/complaints/cases/sg-e-2017-29-membrane-technology-environmental-conversion.htm,
AfDB,IRM,28,2016,Guinea,Multinational – Road Development and Transport Facilitation Programme Within the Manu River Union (Guinea Section),"Develop and asphalt the Danané-Lola road, the Bloléquin-Toulépleu-Liberian border road, the Tablo-Prollo road, the Karloken-Fish Town and the Harper-Cavally junction.",RQ2016/3,The Request was submitted by two nationals of Guinea who work with the Agroforestry Resources Unlimited (ARU) organization focusing on environment and governance. The Requestors claimed to be affeted by the projet. ,Two Guinean nationals of Agroforestry Resources Unlimited (ARU),Corporation,A,,,,,,80000000,70 million EUR,Infrastructure,,Other environmental; Livelihoods; Due diligence; Consultation and disclosure,Active,2016-15-09,9/15/16,11/25/16,11/25/16,10/1/18,yes,,,,,10/1/18,,,,,,,,,https://www.afdb.org/en/independent-review-mechanism/management-of-complaints/registered-requests/rq20163-guinea/,"https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Register_of_Request.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Notice_of_Registration_Mano_River_Project_Guinea.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/UFM-Management_Response.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Eng_IRM_Eligibility__Report_Guinea.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/LIST_OF_POLICIES-EN-CRMU.pdf",,
AfDB,IRM,28,2016,Guinea,Multinational – Road Development and Transport Facilitation Programme Within the Manu River Union (Guinea Section),"Develop and asphalt the Danané-Lola road, the Bloléquin-Toulépleu-Liberian border road, the Tablo-Prollo road, the Karloken-Fish Town and the Harper-Cavally junction.",RQ2016/3,The Request was submitted by two nationals of Guinea who work with the Agroforestry Resources Unlimited (ARU) organization focusing on environment and governance. The Requestors claimed to be affeted by the projet. ,Two Guinean nationals of Agroforestry Resources Unlimited (ARU),Corporation,A,,,,,,80000000,70 million EUR,Infrastructure,,Other environmental; Livelihoods; Due diligence; Consultation and disclosure,Active,2016-15-09,9/15/16,11/25/16,,,11/25/16,10/1/18,yes,,,,,10/1/18,,,,,,,,,https://www.afdb.org/en/independent-review-mechanism/management-of-complaints/registered-requests/rq20163-guinea/,"https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Register_of_Request.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Notice_of_Registration_Mano_River_Project_Guinea.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/UFM-Management_Response.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/Eng_IRM_Eligibility__Report_Guinea.pdf,https://www.afdb.org/fileadmin/uploads/afdb/Documents/Consultation and disclosure-Review/LIST_OF_POLICIES-EN-CRMU.pdf"
ADB,SPF,25,2018,Georgia,Adjaristsqali Hydropower Project,The Adjaristsqali Hydropower Project (the Project ) involves the construction and operation of a 185 MW run-of-the-river hydropower plant in South West Georgia. The electricity will be sold to Turkey for 9 months and to the local market for 3 months in each year. Concessional loan from Canada was used to overcome a wide range of risks and help the project to achieve financial sustainability.,18-Apr,,Unknown,Unknown,A,,47919-014,,,,75000000,USD 75 million,Energy,,Other environmental; Livelihoods; Other community health and safety issues;,Active,8/3/18,8/3/18,8/3/18,,,8/3/18,12/3/18,yes,,,,,,,,,,,,,https://www.adb.org/projects/47919-014/main,,
